Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits,,
1418815.958,1191.140612,0.0187,0.0063,3000000000,Spectral,mJy,,
1502623.958,1225.81563,0.0151,0.0039,3000000000,Spectral,mJy,,
1583839.958,1258.507035,0.0145,0.0037,3000000000,Spectral,mJy,,
1932031.958,1389.975524,0.0225,0.0034,3000000000,Spectral,mJy,,
2096191.958,1447.823179,0.0256,0.0029,3000000000,Spectral,mJy,,
2632740,1622.572032,0.034,0.0036,3000000000,Spectral,mJy,,
2697535.958,1642.417717,0.034,0.0036,3000000000,Spectral,mJy,,
3996860,1999.214846,0.044,0.004,3000000000,Spectral,mJy,,
4688930,2165.393729,0.048,0.006,3000000000,Spectral,mJy,,
4943810,2223.468012,0.061,0.009,3000000000,Spectral,mJy,,
8046430,2836.622992,0.07,0.0057,3000000000,Spectral,mJy,,
9890290,3144.883146,0.08905,0.01585,3000000000,Spectral,mJy,,
14060000,3749.666652,0.096,0.015,3000000000,Spectral,mJy,,
18741000,4329.087664,0.068,0.021,3000000000,Spectral,mJy,,
22184100,4710,0.055,0.012,3000000000,Spectral,mJy,,
896095.9584,777600,0.0078,0.0026,6000000000,Spectral,mJy,,
1423999.958,18000,0.0283,0.0054,6000000000,Spectral,mJy,,
1671967.958,18000,0.0159,0.0055,6000000000,Spectral,mJy,,
1682208,1296.999614,0.019,0.006,6000000000,Spectral,mJy,,
1845631.958,18000,0.0136,0.0029,6000000000,Spectral,mJy,,
2018431.958,18000,0.0226,0.0034,6000000000,Spectral,mJy,,
3389472,1841.051873,0.027,0.006,6000000000,Spectral,mJy,,
4601660,2145.148014,0.032,0.004,6000000000,Spectral,mJy,,
5802620,2408.862802,0.0426,0.0041,6000000000,Spectral,mJy,,
6909540,2628.600388,0.037,0.004,6000000000,Spectral,mJy,,
9631140,3103.407804,0.0637,0.006,6000000000,Spectral,mJy,,
14060000,3749.666652,0.0676,0.0083,6000000000,Spectral,mJy,,
18738400,4328.787359,0.039,0.009,6000000000,Spectral,mJy,,
23100000,4806.245936,0.028511163,0.007,6000000000,Spectral,mJy,,
25700000,5069.516742,0.023759302,0.007,6000000000,Spectral,mJy,,
27600000,5253.570215,0.025660047,0.0075,6000000000,Spectral,mJy,,
9473760,3077.947368,9.55E-05,1.19E-05,5.00E+14,Spectral,mJy,,
11816928,3437.57589,8.26E-05,1.90E-05,5.00E+14,Spectral,mJy,,
796436,26520,1.04E-14,4.50E-15,2.42E+17,Integrated,cgs,,
1330009.875,24329.96094,1.21E-14,3.89E-15,2.42E+17,Integrated,cgs,,
1377615,23344.99414,1.24E-14,3.99E-15,2.42E+17,Integrated,cgs,,
9450950,159408,5.09E-14,5.56E-15,2.42E+17,Integrated,cgs,,
13806720,13806720,5.42E-14,6.10E-15,2.42E+17,Integrated,cgs,,
22463100,4739.525293,2.86E-14,4.69E-15,2.42E+17,Integrated,cgs,,
30885700,5557.490441,1.59E-14,4.24E-15,2.42E+17,Integrated,cgs,,
