Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits
366.2400096,,2.820257488,0.389618572,4.56E+14,Spectral,mJy
388.26,,3.485690004,0.417341664,4.56E+14,Spectral,mJy
410.3400384,,2.820257488,0.389618572,4.56E+14,Spectral,mJy
439.56,,2.525159184,0.372107457,4.56E+14,Spectral,mJy
475.8600096,,2.548524195,0.375550525,4.56E+14,Spectral,mJy
512.1600192,,2.240210152,0.433279045,4.56E+14,Spectral,mJy
598.6800288,,1.933253303,0.320494733,4.56E+14,Spectral,mJy
620.2800288,,1.715097291,0.300124875,4.56E+14,Spectral,mJy
641.8800288,,1.231087044,0.249442857,4.56E+14,Spectral,mJy
670.3199712,,1.325222378,0.25631126,4.56E+14,Spectral,mJy
699.84,,0.904948521,0.325048459,5.45E+14,Spectral,mJy
707.4599616,,1.593267733,0.293479916,4.56E+14,Spectral,mJy
744.1799616,,1.466522603,0.270133463,4.56E+14,Spectral,mJy
801.7799904,,1.413477048,0.273380596,4.56E+14,Spectral,mJy
868.32,,1.413477048,0.273380596,4.56E+14,Spectral,mJy
935.3399616,,1.289106389,0.296816746,4.56E+14,Spectral,mJy
1002.299962,,0.658095257,0.163648548,4.56E+14,Spectral,mJy
1068.839971,,0.883667253,0.203464385,4.56E+14,Spectral,mJy
1135.860019,,0.875565742,0.201599012,4.56E+14,Spectral,mJy
1135.860019,,0.875565742,0.201599012,4.56E+14,Spectral,mJy
1214.940038,,0.755594453,0.180934648,4.56E+14,Spectral,mJy
1281.059971,,0.776763412,0.186003767,4.56E+14,Spectral,mJy
1347.120029,,0.583833164,0.166690207,4.56E+14,Spectral,mJy
1413.239962,,0.900095853,0.198957187,4.56E+14,Spectral,mJy
1546.739971,,0.61700511,0.153430661,4.56E+14,Spectral,mJy
1626.659971,,0.791204522,0.182174841,4.56E+14,Spectral,mJy
1761.06001,,0.472377019,0.13051777,4.56E+14,Spectral,mJy
1827.180029,,0.513202497,0.137071255,4.56E+14,Spectral,mJy
1894.140029,,0.407651234,0.116388504,4.56E+14,Spectral,mJy
2068.61999,,0.755594453,0.180934648,4.56E+14,Spectral,mJy
2194.800019,,0.891843725,0.213560898,4.56E+14,Spectral,mJy
2321.820029,,0.589235306,0.189940001,4.56E+14,Spectral,mJy
2570.52001,,0.820897175,0.189011574,4.56E+14,Spectral,mJy
3140.279971,,0.494639462,0.132113254,4.56E+14,Spectral,mJy
3916.49999,,0.451116551,0.124643503,4.56E+14,Spectral,mJy
4173.12,,0.588703923,0.050424257,3.75E+14,Spectral,mJy
4674.24,,0.597443623,0.053373821,3.75E+14,Spectral,mJy
4691.10001,,0.264416627,0.082799423,4.56E+14,Spectral,mJy
5106.24,,0.525650316,0.020817329,3.75E+14,Spectral,mJy
5495.04,,0.581161626,0.029973992,3.75E+14,Spectral,mJy
5875.2,,0.3636,0.055254474,5.45E+14,Spectral,mJy
6499.079971,,0.210033593,0.069638738,4.56E+14,Spectral,mJy
7318.08,,0.49650531,0.017833974,2.40E+14,Spectral,mJy
7473.6,,0.463792688,0.014523204,2.40E+14,Spectral,mJy
7560,,0.499256695,0.01609354,2.40E+14,Spectral,mJy
7637.76,,0.482529531,0.01510993,2.40E+14,Spectral,mJy
7724.16,,0.49650531,0.015547567,2.40E+14,Spectral,mJy
7810.56,,0.492860368,0.01543343,2.40E+14,Spectral,mJy
7836.48,,0.304436647,0.027477843,3.75E+14,Spectral,mJy
7896.96,,0.4570081,0.014731656,2.40E+14,Spectral,mJy
8087.04,,0.49822526,0.031202852,1.82E+14,Spectral,mJy
8173.44,,0.5816018,0.038567179,1.82E+14,Spectral,mJy
8233.92,,0.180560968,0.022283751,5.45E+14,Spectral,mJy
8259.84,,0.529450962,0.031207958,1.82E+14,Spectral,mJy
8346.24,,0.39758111,0.034054015,1.82E+14,Spectral,mJy
8432.64,,0.517875949,0.031956571,1.82E+14,Spectral,mJy
8622.72,,0.304997957,0.012078834,3.75E+14,Spectral,mJy
9020.16,,0.181728848,0.012050803,5.45E+14,Spectral,mJy
9408.96,,0.2345788,0.011666542,4.56E+14,Spectral,mJy
10100.16,,0.198924723,0.007878016,4.56E+14,Spectral,mJy
11223.36,,0.211785845,0.010532957,3.75E+14,Spectral,mJy
11612.16,,0.142502956,0.010762108,5.45E+14,Spectral,mJy
13184.64,,0.082760646,0.022333209,5.45E+14,Spectral,mJy
13573.44,,0.196199063,0.028731195,3.75E+14,Spectral,mJy
13962.24,,0.08618345,0.011271244,5.45E+14,Spectral,mJy
14783.04,,0.0964326,0.007993298,5.45E+14,Spectral,mJy
15171.84,,0.152158749,0.013733544,3.75E+14,Spectral,mJy
15958.08,,0.149106621,0.012359448,3.75E+14,Spectral,mJy
16735.68,,0.102193641,0.012047404,5.45E+14,Spectral,mJy
51105.6,,0.03759213,0.00412006,3.75E+14,Spectral,mJy
51831.36,,0.050477395,0.002742891,3.75E+14,Spectral,mJy
67582.08,,0.013876782,0.001009661,4.56E+14,Spectral,mJy
67754.88,,0.019015026,0.001751284,3.75E+14,Spectral,mJy
70182.72,,0.014410822,0.000929066,4.56E+14,Spectral,mJy
71202.24,,0.01482849,0.000955993,3.75E+14,Spectral,mJy
72800.64,,0.014005182,0.001019003,4.56E+14,Spectral,mJy
73984.32,,0.018344122,0.001689494,3.75E+14,Spectral,mJy
77829.12,,0.011258925,0.001233967,3.75E+14,Spectral,mJy
78001.92,,0.014437664,0.003590214,3.75E+14,Spectral,mJy
78995.52,,0.008675385,0.002157308,4.56E+14,Spectral,mJy
79004.16,,0.008446733,0.001789271,4.56E+14,Spectral,mJy
79971.84,,0.012231985,0.003154384,3.75E+14,Spectral,mJy
84188.16,,0.013561163,0.001611188,3.75E+14,Spectral,mJy
5915.461,56.537,2.04E-11,4.59E-12,1,Integrated,cgs
6007.673,37.375,2.59E-11,5.81E-12,1,Integrated,cgs
6111.402,61.693,2.10E-11,4.75E-12,1,Integrated,cgs
6215.105,53.308,2.47E-11,5.41E-12,1,Integrated,cgs
6315.492,59.752,1.77E-11,3.99E-12,1,Integrated,cgs
6414.126,30.686,3.16E-11,7.08E-12,1,Integrated,cgs
6511.396,48.498,1.85E-11,4.17E-12,1,Integrated,cgs
6630.086,46.004,2.36E-11,5.28E-12,1,Integrated,cgs
6746.844,73.594,1.54E-11,3.49E-12,1,Integrated,cgs
6903.309,89.599,1.59E-11,3.22E-12,1,Integrated,cgs
11593.463,68.169,7.04E-12,1.58E-12,1,Integrated,cgs
